error_code	error_define	error_desc
int	string	string
错误码	服务器的宏	描述
## 基础错误
0	INFO_OK	成功
1	INFO_PARAMETER_MISS	参数不齐
2	INFO_ACTION_MISS	action没有实现
3	INFO_PARAMETER_ERROR	参数错误
4	INFO_BODY_NOT_EXIST	body为空
5	INFO_DB_ERROR	数据库操作失败
## 用户错误
1001	INFO_NOT_LOGGED_IN	用户未登陆
1002	INFO_NOT_ADMIN	你不是管理员用户
1003	INFO_USER_NOT_FOUND	用户没有找到
1004	INFO_PSW_ERR	密碼錯誤
1005	INFO_VISITOR	游客无法进行此操作
## 活动错误
2001	INFO_CANNOT_COMMENT_ACTIVITY_HAS_BEGUN	活动已经开始，无法评论
2002	INFO_COMMENT_NOT_FOUND	评论找不到
2003	INFO_COMMENT_CONTENT_INVALID	评论内容不符合规定
## 评论错误
3001	INFO_ACTIVITY_NOT_FOUND	活动不存在
3002	INFO_ACTIVITY_SAME_STATUS	活动状态一样，无须更改
3003	INFO_ACTIVITY_APPLICATION_DEADLINE_EXPIRED	活动已过期
3004	INFO_ACTIVITY_NOT_ACCEPTED	活动未通过审核
3005	INFO_ACTIVITY_JOINED	已经参加该活动
3006	INFO_ACTIVITY_NOT_HOST	该活动不是你发起，无法选人
3007	INFO_ACTIVITY_HAS_BEGUN	活动已开始
3008	INFO_ACTIVITY_APPLIED_LIMIT	活动已经满人
3009	INFO_ACTIVITY_SELECTED_LIMIT	选择的人数过多，请减少
